,asset,date,count
235,FTT,2022-03-03,856
236,FTT,2022-03-04,860
237,FTT,2022-03-05,864
238,FTT,2022-03-06,884
239,FTT,2022-03-07,893
240,FTT,2022-03-08,896
241,FTT,2022-03-09,901
242,FTT,2022-03-10,906
243,FTT,2022-03-11,909
244,FTT,2022-03-13,912
245,FTT,2022-03-14,915
246,FTT,2022-03-15,916
247,FTT,2022-03-16,918
248,LUNA,2021-12-30,41
249,LUNA,2021-12-31,54
250,LUNA,2022-01-01,56
251,LUNA,2022-01-02,67
252,LUNA,2022-01-03,122
253,LUNA,2022-01-04,157
254,LUNA,2022-01-05,205
255,LUNA,2022-01-06,274
256,LUNA,2022-01-07,297
257,LUNA,2022-01-08,298
258,LUNA,2022-01-10,335
259,LUNA,2022-01-11,403
260,LUNA,2022-01-12,424
261,LUNA,2022-01-13,501
262,LUNA,2022-01-14,575
263,LUNA,2022-01-15,655
264,LUNA,2022-01-16,719
265,LUNA,2022-01-17,758
266,LUNA,2022-01-18,806
267,LUNA,2022-01-19,851
268,LUNA,2022-01-20,898
269,LUNA,2022-01-21,940
270,LUNA,2022-01-22,959
271,LUNA,2022-01-23,990
272,LUNA,2022-01-24,1018
273,LUNA,2022-01-25,1043
274,LUNA,2022-01-26,1070
275,LUNA,2022-01-27,1101
276,LUNA,2022-01-28,1162
277,LUNA,2022-01-29,1183
278,LUNA,2022-01-30,1212
279,LUNA,2022-01-31,1234
280,LUNA,2022-02-01,1255
281,LUNA,2022-02-02,1272
282,LUNA,2022-02-03,1299
283,LUNA,2022-02-04,1328
284,LUNA,2022-02-05,1346
285,LUNA,2022-02-06,1359
286,LUNA,2022-02-07,1372
287,LUNA,2022-02-08,1390
288,LUNA,2022-02-09,1404
289,LUNA,2022-02-10,1425
290,LUNA,2022-02-11,1445
291,LUNA,2022-02-12,1453
292,LUNA,2022-02-13,1469
293,LUNA,2022-02-14,1480
294,LUNA,2022-02-15,1492
295,LUNA,2022-02-16,1502
296,LUNA,2022-02-17,1528
297,LUNA,2022-02-18,1555
298,LUNA,2022-02-19,1572
299,LUNA,2022-02-20,1581
300,LUNA,2022-02-21,1588
301,LUNA,2022-02-22,1601
302,LUNA,2022-02-23,1612
303,LUNA,2022-02-24,1629
304,LUNA,2022-02-25,1638
305,LUNA,2022-02-26,1648
306,LUNA,2022-02-27,1651
307,LUNA,2022-02-28,1656
308,LUNA,2022-03-01,1661
309,LUNA,2022-03-02,1668
310,LUNA,2022-03-03,1683
311,LUNA,2022-03-04,1693
312,LUNA,2022-03-05,1700
313,LUNA,2022-03-06,1708
314,LUNA,2022-03-07,1715
315,LUNA,2022-03-08,1719
316,LUNA,2022-03-09,1722
317,LUNA,2022-03-10,1731
318,LUNA,2022-03-11,1738
319,LUNA,2022-03-12,1745
320,LUNA,2022-03-13,1749
321,LUNA,2022-03-14,1753
322,LUNA,2022-03-15,1755
323,LUNA,2022-03-16,1758
324,MNGO,2021-12-25,26
325,MNGO,2021-12-26,43
326,MNGO,2021-12-27,62
327,MNGO,2021-12-28,75
328,MNGO,2021-12-29,87
329,MNGO,2021-12-30,109
330,MNGO,2021-12-31,134
331,MNGO,2022-01-01,152
332,MNGO,2022-01-02,158
333,MNGO,2022-01-03,166
334,MNGO,2022-01-05,167
335,MNGO,2022-01-07,175
336,MNGO,2022-01-08,176
337,MNGO,2022-01-12,177
338,MNGO,2022-01-13,206
339,MNGO,2022-01-14,225
340,MNGO,2022-01-15,241
341,MNGO,2022-01-16,248
342,MNGO,2022-01-17,259
343,MNGO,2022-01-18,262
344,MNGO,2022-01-19,271
345,MNGO,2022-01-20,278
346,MNGO,2022-01-21,287
347,MNGO,2022-01-22,290
348,MNGO,2022-01-23,296
349,MNGO,2022-01-24,301
350,MNGO,2022-01-25,305
351,MNGO,2022-01-26,306
352,MNGO,2022-01-27,309
353,MNGO,2022-01-28,313
354,MNGO,2022-01-29,316
355,MNGO,2022-01-30,318
356,MNGO,2022-01-31,321
357,MNGO,2022-02-01,324
358,MNGO,2022-02-02,326
359,MNGO,2022-02-03,330
360,MNGO,2022-02-04,332
361,MNGO,2022-02-05,336
362,MNGO,2022-02-06,340
363,MNGO,2022-02-07,344
364,MNGO,2022-02-08,345
365,MNGO,2022-02-09,349
366,MNGO,2022-02-10,354
367,MNGO,2022-02-11,358
368,MNGO,2022-02-12,362
369,MNGO,2022-02-13,365
370,MNGO,2022-02-14,368
371,MNGO,2022-02-15,371
372,MNGO,2022-02-16,373
373,MNGO,2022-02-17,374
374,MNGO,2022-02-18,376
375,MNGO,2022-02-19,378
376,MNGO,2022-02-21,379
377,MNGO,2022-02-24,380
378,MNGO,2022-02-25,381
379,MNGO,2022-02-27,382
380,MNGO,2022-02-28,383
381,MNGO,2022-03-01,384
382,MNGO,2022-03-02,386
383,MNGO,2022-03-05,387
384,MNGO,2022-03-06,393
385,MNGO,2022-03-07,394
386,MNGO,2022-03-08,395
387,MNGO,2022-03-11,396
388,MNGO,2022-03-12,399
389,MNGO,2022-03-13,401
390,MNGO,2022-03-14,402
391,MNGO,2022-03-15,403
392,RAY,2022-01-03,19
393,RAY,2022-01-04,39
394,RAY,2022-01-05,45
395,RAY,2022-01-06,53
396,RAY,2022-01-07,57
397,RAY,2022-01-09,58
398,RAY,2022-01-10,60
399,RAY,2022-01-11,66
400,RAY,2022-01-13,69
401,RAY,2022-01-14,71
402,RAY,2022-01-15,101
403,RAY,2022-01-16,109
404,RAY,2022-01-17,125
405,RAY,2022-01-18,134
406,RAY,2022-01-19,140
407,RAY,2022-01-20,148
408,RAY,2022-01-21,158
