,amount,asset,date,signer,sender
4189,0.1,SOL,2022-01-25,885t3XecMn7ixpM73KjNJyzx1REx4FzHNwMEfRfMfNcn,885t3XecMn7ixpM73KjNJyzx1REx4FzHNwMEfRfMfNcn
4190,0.275,SOL,2022-01-25,8ESbgeQd9uvzvGBCXNMY9BwjYfkPzwAicZcVVmjFQFdv,8ESbgeQd9uvzvGBCXNMY9BwjYfkPzwAicZcVVmjFQFdv
4191,1.0,SOL,2022-01-25,8FzPThuMf7AYf71P7TxPiiJMLM7hZ5pFUmP4Qt6Pwyq8,8FzPThuMf7AYf71P7TxPiiJMLM7hZ5pFUmP4Qt6Pwyq8
4192,1.0,SOL,2022-01-25,8LNrcya2uHtAVT3kAqKNTRxXTYHebM7qZRUW4PTC38am,8LNrcya2uHtAVT3kAqKNTRxXTYHebM7qZRUW4PTC38am
4193,0.119,SOL,2022-01-25,8P8126ojQ2E9jcGPR8SNedibijYVqhSksjTtKCkCK9GU,8P8126ojQ2E9jcGPR8SNedibijYVqhSksjTtKCkCK9GU
4194,2.0,SOL,2022-01-25,8ShQpQfxF3HSuKZ1tHxnKHB64a9tWybEshkYP1BhF4tg,8ShQpQfxF3HSuKZ1tHxnKHB64a9tWybEshkYP1BhF4tg
4195,0.02,SOL,2022-01-25,8dsuHiZHfThRtTbRrRZDSRUPwy8rZz6SEKrpmTkGBTej,8dsuHiZHfThRtTbRrRZDSRUPwy8rZz6SEKrpmTkGBTej
4196,0.2,SOL,2022-01-25,8fimW95GrCkuWSHPThno7qbrmEjX13xAtxSrJGJuiNjy,8fimW95GrCkuWSHPThno7qbrmEjX13xAtxSrJGJuiNjy
4197,58.0,SOL,2022-01-25,8xuTGEAb3iBeLVfxRtuDTGVqs6u2gb1meTUbCL9aEF8u,8xuTGEAb3iBeLVfxRtuDTGVqs6u2gb1meTUbCL9aEF8u
4198,0.295,SOL,2022-01-25,91oEjiBQetac8HUeGo8B3reXoDyWYRTWjBaNcz2iW8re,91oEjiBQetac8HUeGo8B3reXoDyWYRTWjBaNcz2iW8re
4199,0.1,SOL,2022-01-25,9dr6NgvyNo7wNSvZnP2UwDX1TryGmRA3UKaXfSBALRg7,9dr6NgvyNo7wNSvZnP2UwDX1TryGmRA3UKaXfSBALRg7
4200,0.05,SOL,2022-01-25,9gPFtJFqiZ9W2JicXgLQzXPb1XDDemokaPvASuyTDhuq,9gPFtJFqiZ9W2JicXgLQzXPb1XDDemokaPvASuyTDhuq
4201,6.0,SOL,2022-01-25,9jGWT4YJCxbkTEGRc1jmGBXnEDCXKBhJfx4GGy8ZeFN4,9jGWT4YJCxbkTEGRc1jmGBXnEDCXKBhJfx4GGy8ZeFN4
4202,3.0,SOL,2022-01-25,9o8WWjmTSrBKwdgxBsW562ELfnby3xLmvJrMQnQyQuw1,9o8WWjmTSrBKwdgxBsW562ELfnby3xLmvJrMQnQyQuw1
4203,0.5,SOL,2022-01-25,9wdaBKiCdqHYY7tos3aShsHvhg8hFQT97gstkva5FfxT,9wdaBKiCdqHYY7tos3aShsHvhg8hFQT97gstkva5FfxT
4204,0.002,SOL,2022-01-25,AAq29FSNdRbVT9BRteiCcGGmYQ1zaSavidMPJFU4izsD,AAq29FSNdRbVT9BRteiCcGGmYQ1zaSavidMPJFU4izsD
4205,1.5,SOL,2022-01-25,AGgzkfqH5NuL7aLeeBCqyREXfRW8sDjKCTFtVJLkWmov,AGgzkfqH5NuL7aLeeBCqyREXfRW8sDjKCTFtVJLkWmov
4206,6.95,SOL,2022-01-25,AHLxQg79MCK4U3QD4HEr2mTXP9ZtUpQRrt1EZo3S7PgJ,AHLxQg79MCK4U3QD4HEr2mTXP9ZtUpQRrt1EZo3S7PgJ
4207,0.02,SOL,2022-01-25,ATjtNSpGoYYSSawQLwVj3zc7QtxKo6sckyYe9a52dTFv,ATjtNSpGoYYSSawQLwVj3zc7QtxKo6sckyYe9a52dTFv
4208,0.182,SOL,2022-01-25,At3p37DMY9ozyeA4BaLMB2YvfjxbVrQQQfxAiyyLHuxi,At3p37DMY9ozyeA4BaLMB2YvfjxbVrQQQfxAiyyLHuxi
4209,0.2,SOL,2022-01-25,AxHrE4aBdZuGapgb4nKc58KnESxy2w1SwV8DvfrQVxte,AxHrE4aBdZuGapgb4nKc58KnESxy2w1SwV8DvfrQVxte
4210,0.122,SOL,2022-01-25,B9Lt3nHrCv272VBgNNjosMjDnHxt784zLNokXYi35XEm,B9Lt3nHrCv272VBgNNjosMjDnHxt784zLNokXYi35XEm
4211,0.04,SOL,2022-01-25,BFN4CK2dwtSLszskdGFRcPPjMnoDQsZeCprkTkJwk8JS,BFN4CK2dwtSLszskdGFRcPPjMnoDQsZeCprkTkJwk8JS
4212,0.144,SOL,2022-01-25,BP4yhBjUjWZ2hX2pvkfKs65ZpG3aAdxYjTT3qxQjofWe,BP4yhBjUjWZ2hX2pvkfKs65ZpG3aAdxYjTT3qxQjofWe
4213,0.125,SOL,2022-01-25,BS6FJTaAorkay5iVXeMT4Vc5YxZ6w7wEUpUyz9FhBCFq,BS6FJTaAorkay5iVXeMT4Vc5YxZ6w7wEUpUyz9FhBCFq
4214,1.04,SOL,2022-01-25,BTL3jbyhC9gHY81L2koBS5Ae6JLoobnHJUSBcYjChKgy,BTL3jbyhC9gHY81L2koBS5Ae6JLoobnHJUSBcYjChKgy
4215,220.0,SOL,2022-01-25,BgnsCfJ54ReunUtwPJLzkW4PWnqpBDWGNYxsW5PvDrbK,BgnsCfJ54ReunUtwPJLzkW4PWnqpBDWGNYxsW5PvDrbK
4216,0.02,SOL,2022-01-25,BkMZUAsrxJzNs9hCyjtZ9qPr8W7XhhZN4Nc6R3o7f4fW,BkMZUAsrxJzNs9hCyjtZ9qPr8W7XhhZN4Nc6R3o7f4fW
4217,0.02,SOL,2022-01-25,BkvPcU5KPVdtf41kP6FfvjHvBVcRz3k1q6zAGHKaLwZt,BkvPcU5KPVdtf41kP6FfvjHvBVcRz3k1q6zAGHKaLwZt
4218,0.2,SOL,2022-01-25,BpHabnMqGj68ebg1VtBWayDbfyZk7YAWALGs6Ces6Rf8,BpHabnMqGj68ebg1VtBWayDbfyZk7YAWALGs6Ces6Rf8
4219,0.25,SOL,2022-01-25,BuX6GFNN3L2LbyMFocRe6Lxgfaz39bwKAbhVm4R1zn5V,BuX6GFNN3L2LbyMFocRe6Lxgfaz39bwKAbhVm4R1zn5V
4220,0.01,SOL,2022-01-25,C3JiYWsBV7YfbBkE2mkJ8tacrVJSsYT5S9tM3SgrnvJM,C3JiYWsBV7YfbBkE2mkJ8tacrVJSsYT5S9tM3SgrnvJM
4221,120.0,SOL,2022-01-25,C5KamiY2oFw9pfBNMRZ9K2eq7dz5Rdp7dPxvZPH6JA2K,C5KamiY2oFw9pfBNMRZ9K2eq7dz5Rdp7dPxvZPH6JA2K
4222,0.15,SOL,2022-01-25,C6ShQfYE3W1JRbgv2fEf5KUVmCdXvAqwGSzdWfWMWt8L,C6ShQfYE3W1JRbgv2fEf5KUVmCdXvAqwGSzdWfWMWt8L
4223,29.0,SOL,2022-01-25,C7pcXGCLhpqCq2yTA13j6fC2Fx7JUhyCKrwqmGQkmcEP,C7pcXGCLhpqCq2yTA13j6fC2Fx7JUhyCKrwqmGQkmcEP
4224,0.29,SOL,2022-01-25,C7rQetYDtCYXwr3yVHox3xiGHU4h4jrHPATGPa6PJ6XD,C7rQetYDtCYXwr3yVHox3xiGHU4h4jrHPATGPa6PJ6XD
4225,6.0,SOL,2022-01-25,CFXBzx69VLuA64jmYaKjswXAAULJ3KE4tNvxNbbufxDf,CFXBzx69VLuA64jmYaKjswXAAULJ3KE4tNvxNbbufxDf
4226,0.099,SOL,2022-01-25,CZzX2Y2vVJomkUtQh7FxzGb3TgiTDPfbiHBrLKtZjhX,CZzX2Y2vVJomkUtQh7FxzGb3TgiTDPfbiHBrLKtZjhX
4227,0.2,SOL,2022-01-25,CbXv9QWVMia1Na3Fgv6chiE9MHpFweK18xTk8dMt6JXt,CbXv9QWVMia1Na3Fgv6chiE9MHpFweK18xTk8dMt6JXt
4228,1.208,SOL,2022-01-25,Cf4cBjFs7wvZ2SAaH9QAqPt3nAMbGhNmwekvtJucoBEX,Cf4cBjFs7wvZ2SAaH9QAqPt3nAMbGhNmwekvtJucoBEX
4229,2.474,SOL,2022-01-25,CiVSK81H4kuC4LRiRb93fPLoxFmW5YfCKxnKJsvzzPza,CiVSK81H4kuC4LRiRb93fPLoxFmW5YfCKxnKJsvzzPza
4230,0.1,SOL,2022-01-25,CwPL9od51NFi4Qp3Skxsa2FumMt8521ycwdAjEhqnuP3,CwPL9od51NFi4Qp3Skxsa2FumMt8521ycwdAjEhqnuP3
4231,0.224,SOL,2022-01-25,D7WLnTwLtKSvftSkhZRj5eMEiuQie65okwgbpyFUoW5y,D7WLnTwLtKSvftSkhZRj5eMEiuQie65okwgbpyFUoW5y
4232,2.0,SOL,2022-01-25,DgbNYmVstoZf43mXY9wHKcoH1saXe4a7CFRDS89CiETg,DgbNYmVstoZf43mXY9wHKcoH1saXe4a7CFRDS89CiETg
4233,0.01,SOL,2022-01-25,DjbUtpZn2uWVLxSYJq7grGyCuS5EKVduH4vSJ41Ukwze,DjbUtpZn2uWVLxSYJq7grGyCuS5EKVduH4vSJ41Ukwze
4234,0.123,SOL,2022-01-25,DmdFGwHHL3RU3JTfJw7NsMAraEqkvS7EtU1XYGq2iZm1,DmdFGwHHL3RU3JTfJw7NsMAraEqkvS7EtU1XYGq2iZm1
4235,0.09,SOL,2022-01-25,Dt5ZbKbGp8JU6n6QF87GxFxJJLF2HvFhVwXjrQVABGgY,Dt5ZbKbGp8JU6n6QF87GxFxJJLF2HvFhVwXjrQVABGgY
4236,0.2,SOL,2022-01-25,DtrRV4tAzwbT7cZKH5zxkiLfL1xLubkVrBsd1fY6q8iY,DtrRV4tAzwbT7cZKH5zxkiLfL1xLubkVrBsd1fY6q8iY
4237,100.0,SOL,2022-01-25,Ducw8wwAFb7q3TWDQthYiXhw4cbYEnWsbBnAZ41siV7P,Ducw8wwAFb7q3TWDQthYiXhw4cbYEnWsbBnAZ41siV7P
4238,10.0,SOL,2022-01-25,Dw4M8nVZa6rrCX7TDT3C5CqaSDd4nV8qiN1wNrdA2PPq,Dw4M8nVZa6rrCX7TDT3C5CqaSDd4nV8qiN1wNrdA2PPq
4239,1.4,SOL,2022-01-25,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE,DxMJgeSVoe1cWo1NPExiAsmn83N3bADvkT86dSP1k7WE
4240,0.091,SOL,2022-01-25,DxP8CwoVd2B3t5RfMCdmwJS2g4ikBSQij8gXuxceoznF,DxP8CwoVd2B3t5RfMCdmwJS2g4ikBSQij8gXuxceoznF
4241,0.2,SOL,2022-01-25,E15J3zaTLodoWzv6pKzay6qfeNFR7dfUHDE9GyDtHptU,E15J3zaTLodoWzv6pKzay6qfeNFR7dfUHDE9GyDtHptU
4242,0.034,SOL,2022-01-25,E1PjfjYLaT9d6nm49YKrH1Wef7JF8RMD8GZZ8n8oxHaY,E1PjfjYLaT9d6nm49YKrH1Wef7JF8RMD8GZZ8n8oxHaY
4243,0.03,SOL,2022-01-25,E9wxaMGRns1hX941jJafvLYfBMnrmQBr1qda3NmLkdow,E9wxaMGRns1hX941jJafvLYfBMnrmQBr1qda3NmLkdow
4244,0.52,SOL,2022-01-25,EA36jcVzo7xEbT6uoSVXXe5QcET9W5TN4XrKKYbiULn3,EA36jcVzo7xEbT6uoSVXXe5QcET9W5TN4XrKKYbiULn3
4245,0.1,SOL,2022-01-25,EBm36snbqwMNE1sgk68hbQRF1bRzpQcZuUjSWGuhPg6X,EBm36snbqwMNE1sgk68hbQRF1bRzpQcZuUjSWGuhPg6X
