,amount,symbol,cash,date,signer,receiver,asset
1655,200.104552,USDC,USDC,2022-02-11T17:28:58Z,FJjaAcE3xFBePxCsWvNby4pNbRLRa3b7K5pJBo1T6Ca5,FJjaAcE3xFBePxCsWvNby4pNbRLRa3b7K5pJBo1T6Ca5,SOL
1656,92623.548701,USDC,USDC,2022-02-11T17:44:43Z,EQoyjasDpNomZT6tTWfbpLyJmWxGrevSQf7FvdSViQYK,EQoyjasDpNomZT6tTWfbpLyJmWxGrevSQf7FvdSViQYK,SOL
1657,2395.015877,USDC,USDC,2022-02-11T17:46:00Z,6df46H9p6knG9QovZvBh3Cj7tEaCT2RNk4FPwvq486rK,6df46H9p6knG9QovZvBh3Cj7tEaCT2RNk4FPwvq486rK,SOL
1658,34.193481,USDC,USDC,2022-02-11T17:52:38Z,HGDTha8y94aGzT22miMetpf8ucf6a9pYwE3RdQ5wC7ES,HGDTha8y94aGzT22miMetpf8ucf6a9pYwE3RdQ5wC7ES,SOL
1659,4856.018258,USDC,USDC,2022-02-11T17:53:40Z,Es1fmcvqGJW7VHQxiPGntwN2kSSQxPNKXequZqzNWG2C,Es1fmcvqGJW7VHQxiPGntwN2kSSQxPNKXequZqzNWG2C,SOL
1660,1399.600199,USDC,USDC,2022-02-11T18:06:53Z,61fertdALqc8Jy3k62CkfkhSMiHzhNE6Fy23vFeLBKfh,61fertdALqc8Jy3k62CkfkhSMiHzhNE6Fy23vFeLBKfh,SOL
1661,497.535796,USDC,USDC,2022-02-11T18:24:18Z,4SRRYMB8LrErYjQfz7t1vDCWPn9ARQM8oiV72V769Tow,4SRRYMB8LrErYjQfz7t1vDCWPn9ARQM8oiV72V769Tow,BTC
1662,4002.091043,USDC,USDC,2022-02-11T18:52:39Z,6NBTGMTn6JfkekdDo7mLpgsV2EuHaZTk7AXmxSchdmnZ,6NBTGMTn6JfkekdDo7mLpgsV2EuHaZTk7AXmxSchdmnZ,SOL
1663,133.629152,USDC,USDC,2022-02-11T19:10:42Z,FF8rqfM9PTEjYiVFy8jS81weDRwdaYooux2uSa2LexrJ,FF8rqfM9PTEjYiVFy8jS81weDRwdaYooux2uSa2LexrJ,SOL
1664,10.068926,USDC,USDC,2022-02-11T19:45:17Z,BpHabnMqGj68ebg1VtBWayDbfyZk7YAWALGs6Ces6Rf8,BpHabnMqGj68ebg1VtBWayDbfyZk7YAWALGs6Ces6Rf8,SOL
1665,2058.095251,USDC,USDC,2022-02-11T19:50:49Z,6niQWU7nuW33ktYiiXjicAouaYYiwTZcgge3u5mZUtsc,6niQWU7nuW33ktYiiXjicAouaYYiwTZcgge3u5mZUtsc,SOL
1666,18691.363503,USDC,USDC,2022-02-11T21:59:54Z,858SYEjCQDS7esNaWFCvMmqWsgvXptYYKN6RxEHfWxy8,858SYEjCQDS7esNaWFCvMmqWsgvXptYYKN6RxEHfWxy8,SOL
1667,2410.047067,USDC,USDC,2022-02-11T23:16:08Z,5rPmSBeq1pz7KyG1P5bj9KajJmA2ay971Zh5kHxgj4kL,5rPmSBeq1pz7KyG1P5bj9KajJmA2ay971Zh5kHxgj4kL,SOL
1668,3001.568282,USDC,USDC,2022-02-11T23:36:13Z,129soXcPUEYUkE7aJzoDkq8tEANtaptoPaf8EQXMo6U9,129soXcPUEYUkE7aJzoDkq8tEANtaptoPaf8EQXMo6U9,SOL
1669,17.370591,USDC,USDC,2022-02-12T01:33:24Z,GGyVoUc8TLzsvioDw45ZgDLesVGvajTnfhzEmWdUcwoE,GGyVoUc8TLzsvioDw45ZgDLesVGvajTnfhzEmWdUcwoE,SOL
1670,467.284087,USDC,USDC,2022-02-12T02:10:37Z,7v2bUFjVkRebbQz5JciPmeKcY1ErjHjgPeJXyDtNJs8h,7v2bUFjVkRebbQz5JciPmeKcY1ErjHjgPeJXyDtNJs8h,SOL
1671,2654.399647,USDC,USDC,2022-02-12T02:32:59Z,DPE91hcWV4yiyFyYfxHZzomokBWKNTPqghL2G3VDjWVW,DPE91hcWV4yiyFyYfxHZzomokBWKNTPqghL2G3VDjWVW,ETH
1672,1904.567913,USDC,USDC,2022-02-12T02:40:24Z,9pEArHtaXLJT3Byxom7eHPqN33JQReQW7nc9sBM2WM2X,9pEArHtaXLJT3Byxom7eHPqN33JQReQW7nc9sBM2WM2X,SOL
1673,159.323565,USDC,USDC,2022-02-12T03:00:24Z,EyWSkc24gJWRSgsJgeQ3NoXw7jY3UzSnZrobpxwLSSvt,EyWSkc24gJWRSgsJgeQ3NoXw7jY3UzSnZrobpxwLSSvt,SOL
1674,6801.717137,USDC,USDC,2022-02-12T03:16:31Z,4WaK91WhLXrVHtquUSie9jP6p4yEEKvRqUGLtq94ZX5s,4WaK91WhLXrVHtquUSie9jP6p4yEEKvRqUGLtq94ZX5s,SOL
1675,10.361249,USDC,USDC,2022-02-12T04:44:54Z,EbVdTBGv5poB8ovWLnDAduh3w7bQMppZjsEaT6KhxAmB,EbVdTBGv5poB8ovWLnDAduh3w7bQMppZjsEaT6KhxAmB,SOL
1676,122444.119373,USDC,USDC,2022-02-12T04:47:28Z,CC2Cmahrft5pp2dPDmCkcjRHBpbYbWemqV4MBSHzCifZ,CC2Cmahrft5pp2dPDmCkcjRHBpbYbWemqV4MBSHzCifZ,SOL
1677,1300.679589,USDC,USDC,2022-02-12T05:45:22Z,C61mPygi4Wicq7pVbQzrUbs5Yw3iN6vnBLmHXmeFMTt7,C61mPygi4Wicq7pVbQzrUbs5Yw3iN6vnBLmHXmeFMTt7,SOL
1678,5433.798267,USDC,USDC,2022-02-12T05:53:51Z,F48MktMsHTPJV9FcPpEABSgpufqmabxaRPzTWn3jUFmv,F48MktMsHTPJV9FcPpEABSgpufqmabxaRPzTWn3jUFmv,ETH
